避難收容處所名稱,避難收容處所地址,經度,緯度,室內室外,可容納人數,最近測站ID,最近測站名稱,最近測站位置,周圍空氣污染指數,風險等級,最近測站距離(km),影響測站數量
東興活動中心,永興路260號,120.681226,24.113398,True,50,大里,大里,(臺中市),38.8,low risk,1.56,32
四張社區活動中心,鎮西路74號,120.485,24.114,True,100,線西,線西,(彰化縣),39.41,low risk,2.55,29
崇光國民小學崇光樓地下室/操場,大明路181號,120.68357,24.115191,True,1000,大里,大里,(臺中市),38.79,low risk,1.81,32
發祥活動中心,瑞和路1-1號,121.160619,24.115564,True,100,埔里,埔里,(南投縣),37.94,low risk,25.48,32
臺中高工操場,高工路191號,120.6612,24.116,False,780,大里,大里,(臺中市),38.69,low risk,2.53,31
楓樹兒童青少年活動中心,南屯區楓樹里楓樹西街二00號,120.6289,24.1161,True,50,忠明,忠明,(臺中市),38.5,low risk,4.17,31
私立大明高級中學體育場/禮堂,新仁路三段210號,120.685976,24.116491,False,270,大里,大里,(臺中市),38.79,low risk,2.03,32
大崙國小塗溝分校-室外,1-1號,120.6132,24.1165,False,500,忠明,忠明,(臺中市),38.55,low risk,4.85,30
竹營社區活動中心,和頭路237號,120.5011,24.117,True,100,線西,線西,(彰化縣),39.38,low risk,3.64,29
臺中市南區聯合辦公大樓,工學路72號5樓,120.6638,24.1171,True,61,大里,大里,(臺中市),38.69,low risk,2.45,31
順安農宅示範中心,草林158號,121.6365,24.1172,True,23,花蓮,花蓮,(花蓮縣),34.31,low risk,16.65,17
東汴國小〈行政教學大樓.操場〉,太平區東汴里山田路100號,120.7958,24.1174,True,575,大里,大里,(臺中市),39.0,low risk,12.07,31
秀林國小收容所,秀林路76號,121.6244,24.118,True,100,花蓮,花蓮,(花蓮縣),34.1,low risk,16.5,18
臺中市立大里幼兒園-日新分班,日新路383號,120.692373,24.11811,True,80,大里,大里,(臺中市),38.8,low risk,2.5,32
竹園社區活動中心,彰新路4段115號,120.525,24.119,True,60,線西,線西,(彰化縣),39.31,low risk,5.85,29
長億永成里活動中心,長億路1-1號,120.7209,24.1192,True,815,大里,大里,(臺中市),38.92,low risk,4.83,32
大慶活動中心,德富路100號,120.6542,24.1196,True,30,大里,大里,(臺中市),38.56,low risk,3.32,31
南區圖書館,五權南路335號,120.6697,24.1201,True,57,大里,大里,(臺中市),38.62,low risk,2.45,32
祥興活動中心,中興路二段祥興3巷10弄34號,120.685927,24.120351,True,20,大里,大里,(臺中市),38.73,low risk,2.43,32
和平國小和平館及操場,復興路二段57號,120.6607,24.1213,True,513,大里,大里,(臺中市),38.52,low risk,3.01,32
梅村長老教會,西門巷7號,121.11075,24.121767,True,100,埔里,埔里,(南投縣),38.64,low risk,22.35,34
月眉社區活動中心,和厝路一段276號,120.495,24.122,True,100,線西,線西,(彰化縣),39.28,low risk,2.84,29
犁盛社區活動中心,東平路225巷9號,120.527,24.122,True,100,線西,線西,(彰化縣),39.25,low risk,5.98,29
信義國小信義館及操場,五權南路325號,120.668571,24.1222,True,1440,大里,大里,(臺中市),38.58,low risk,2.7,32
曉陽國小,頂犁路158-1號,120.478,24.1227,True,100,線西,線西,(彰化縣),39.13,low risk,1.35,29
中平國中〈活動中心.操場〉,中平村太平路 300 號,120.7183,24.1231,True,972,大里,大里,(臺中市),38.85,low risk,4.82,32
頭汴國小〈行政大樓B1〉,北田路 20 號,120.7515,24.1232,True,1820,大里,大里,(臺中市),38.78,low risk,7.86,31
頂犁民眾活動中心,頂犁路48之1號,120.480918,24.123229,True,100,線西,線西,(彰化縣),39.15,low risk,1.53,29
頭汴里活動中心,長龍路二段11巷18號,120.7507,24.1239,True,278,大里,大里,(臺中市),38.77,low risk,7.81,31
建平國小〈會議室1樓、操場〉,精美路201號,120.7245,24.1241,False,1419,大里,大里,(臺中市),38.69,low risk,5.41,31
國光國小國光堂及操場,國光路261號,120.6801,24.1245,False,707,大里,大里,(臺中市),38.64,low risk,2.77,32
中興活動中心,復新街89號B1,120.6759,24.1247,True,50,大里,大里,(臺中市),38.61,low risk,2.8,32
頭前社區活動中心,和頭路595號,120.506,24.125,True,100,線西,線西,(彰化縣),39.26,low risk,3.82,29
禪光育幼院,仁愛路2巷172號,121.6497,24.1257,True,105,花蓮,花蓮,(花蓮縣),32.79,low risk,17.9,15
福隆里活動中心,光興路1463巷8號,120.7345,24.1258,True,294,大里,大里,(臺中市),38.69,low risk,6.39,31
嘉寶社區活動中心,福北路221號,120.512,24.126,True,100,線西,線西,(彰化縣),39.24,low risk,4.4,29
四育國中四育館及操場,復興路二段152號,120.6651,24.126,True,544,大里,大里,(臺中市),38.48,low risk,3.23,32
臺中市立崇倫國中崇倫堂及操場,忠明南路730號,120.659,24.1261,False,483,忠明,忠明,(臺中市),38.41,low risk,3.4,32
臺中市立東峰國中,仁和路330號,120.68617,24.12626,True,700,大里,大里,(臺中市),38.66,low risk,3.07,32
王田社區運動公園,興和路332號附近,120.5838,24.1264,False,120,西屯,西屯,(臺中市),38.54,low risk,5.21,30
臺中市西區萬壽公園,大墩路旁向上路與向上南路間,120.650622,24.126479,False,3550,忠明,忠明,(臺中市),38.35,low risk,2.99,31
國立中興大學附屬臺中高級農業職業學校禮堂,臺中路283號,120.6856,24.1266,True,700,大里,大里,(臺中市),38.65,low risk,3.09,32
天主教聲遠之家,博愛路31號,121.6513,24.1266,True,53,花蓮,花蓮,(花蓮縣),32.89,low risk,18.04,16
好修社區活動中心,月北路400巷21號,120.494,24.127,True,60,線西,線西,(彰化縣),39.19,low risk,2.58,29
塭仔民眾活動中心,塭仔路141號,120.456135,24.128081,True,80,線西,線西,(彰化縣),39.23,low risk,1.37,29
溝內民眾活動中心,溝內路34-1號,120.454988,24.128334,True,80,線西,線西,(彰化縣),39.26,low risk,1.48,29
大智國小2樓禮堂,大智路359號,120.6908,24.1286,True,500,大里,大里,(臺中市),38.65,low risk,3.46,32
新城社區活動中心,博愛路66號,121.6502,24.1288,True,23,花蓮,花蓮,(花蓮縣),32.76,low risk,18.25,17
興田社區活動中心,新興1街62號,121.6452,24.1301,True,45,花蓮,花蓮,(花蓮縣),33.4,low risk,18.25,18
線西國小,中央路二段135號,120.4697,24.1313,True,100,線西,線西,(彰化縣),38.73,low risk,0.08,29
崇仁活動中心,柳川西路1段59號,120.6606,24.1314,True,53,忠明,忠明,(臺中市),38.34,low risk,3.02,32
紅葉國小梅林分校,慈峰巷40號,121.184631,24.131465,True,100,埔里,埔里,(南投縣),37.18,low risk,28.48,32
臺中國小活動中心,臺中路153號,120.684716,24.131516,True,600,大里,大里,(臺中市),38.58,low risk,3.6,32
線西國中,中央路二段145號,120.4687,24.1325,True,100,線西,線西,(彰化縣),38.74,low risk,0.1,29
長億國小〈行政大樓B1、操場、籃球場〉,太平三街 295 號,120.7164,24.133,True,1649,大里,大里,(臺中市),38.53,low risk,5.35,31
大忠國民小學一樓課照教室,仁德路60號,120.5542,24.133714,True,40,西屯,西屯,(臺中市),38.78,low risk,7.11,30
培英國小,彰新路5段310號,120.51,24.134,True,150,線西,線西,(彰化縣),39.15,low risk,4.16,29
寓埔民眾活動中心,寓埔路177-1號,120.45949,24.134332,True,80,線西,線西,(彰化縣),39.05,low risk,1.02,29
臺中市西區大勇國小禮堂,忠明南路515號,120.6578,24.1345,True,100,忠明,忠明,(臺中市),38.25,low risk,2.58,32
南屯區公所4樓開放式會議室,永春東路679號,120.6441,24.1347,True,50,忠明,忠明,(臺中市),37.96,low risk,1.94,32
線西民眾活動中心,中央路二段536巷31號,120.463123,24.135832,True,80,線西,線西,(彰化縣),38.95,low risk,0.76,29
育英國中操場,育英路30號,120.69813,24.13594,False,500,大里,大里,(臺中市),38.43,low risk,4.51,31
塗厝社區活動中心,和厝路2段485號,120.508,24.136,True,60,線西,線西,(彰化縣),39.13,low risk,3.98,29
南屯里活動中心,南屯區南屯里萬和路一段五十號,120.639,24.1363,True,60,忠明,忠明,(臺中市),37.82,low risk,1.75,32
臺中市東區區公所禮堂,長福路245號,120.703797,24.136521,True,1500,大里,大里,(臺中市),38.44,low risk,4.84,31
線西鄉立幼兒園,中央路二段386巷128號,120.4668,24.1368,True,200,線西,線西,(彰化縣),38.87,low risk,0.61,29
春社里活動中心2、3樓,南屯區春社里忠勇路二三之十二號,120.612,24.1374,True,200,西屯,西屯,(臺中市),37.8,low risk,2.8,30
祥順運動公園,宜昌路87巷,120.7128,24.1383,False,9810,大里,大里,(臺中市),38.44,low risk,5.54,31
宜欣國小〈宜學樓、南大樓〉,太平區宜欣里新平路二段100號,120.7153,24.1392,True,1913,大里,大里,(臺中市),38.43,low risk,5.78,31
臺中市西區忠信國小禮堂忠信堂,林森路155號,120.6686,24.1393,True,100,臺灣大道,臺灣大道,(臺中市),38.37,low risk,2.49,32
汴頭社區活動中心,汴頭路189號,120.497037,24.139906,True,40,線西,線西,(彰化縣),39.08,low risk,2.98,29
頂庄民眾活動中心,沿海路二段334巷32號,120.4674,24.1403,True,80,線西,線西,(彰化縣),38.93,low risk,0.97,29
永定里社區活動中心,南屯區永定里南美街70號,120.6366,24.1404,True,50,忠明,忠明,(臺中市),37.62,low risk,1.36,32
臺中市西區區公所,金山路11號,120.6712,24.1412,True,50,臺灣大道,臺灣大道,(臺中市),38.39,low risk,2.46,32
田新公園管理室,南屯區大墩6街319巷41號1.2.3樓,120.6443,24.1424,False,50,忠明,忠明,(臺中市),37.72,low risk,1.11,32
大同里活動中心3樓,南屯區大同里大墩六街一六一號,120.6502,24.1425,True,100,忠明,忠明,(臺中市),37.92,low risk,1.4,32
台中公園,自由路二段與公園路口,120.684074,24.143637,False,2000,臺灣大道,臺灣大道,(臺中市),38.3,low risk,3.25,31
臺中市中區老人休閒活動中心,成功路300號1樓,120.6795,24.1439,True,18,臺灣大道,臺灣大道,(臺中市),38.29,low risk,2.85,31
臺中市中區區公所六樓大禮堂,成功路300號6樓,120.6795,24.1439,True,170,臺灣大道,臺灣大道,(臺中市),38.29,low risk,2.85,31
新港社區活動中心,自強路臨30號,120.484731,24.143911,True,40,線西,線西,(彰化縣),39.01,low risk,2.09,29
臺中市光復國小3樓禮堂及內操場,三民路二段148號,120.681722,24.143934,False,990,臺灣大道,臺灣大道,(臺中市),38.29,low risk,3.03,31
興中停車場,臺灣大道一段及大誠街口,120.6785,24.1442,False,1500,臺灣大道,臺灣大道,(臺中市),38.28,low risk,2.75,31
臺中市光復國民小學外操場,臺中市中區三民路二段與公園路口,120.681723,24.144587,True,1200,臺灣大道,臺灣大道,(臺中市),38.29,low risk,3.0,31
伸港國中第二校區,建興路168號,120.489958,24.144634,True,10,線西,線西,(彰化縣),39.03,low risk,2.56,29
坪林國小〈南棟大樓B1.操場〉,坪林路45號,120.7371,24.145,True,1136,大里,大里,(臺中市),38.37,low risk,7.8,31
