避難收容處所名稱,避難收容處所地址,經度,緯度,室內室外,可容納人數,最近測站ID,最近測站名稱,最近測站位置,周圍空氣污染指數,風險等級,最近測站距離(km),影響測站數量
高雄市美濃區龍肚國民小學,龍東街43號,120.579605,22.885381,True,344,美濃,美濃,(高雄市),71.76,warning,5.03,32
高雄市茂林區茂林國民小學,茂林巷8-3號,120.6643,22.8865,True,180,美濃,美濃,(高雄市),73.0,warning,13.71,30
鳳山區農會茂林辦事處,茂林巷16號,120.6633,22.8869,True,220,美濃,美濃,(高雄市),73.0,warning,13.61,30
茂林基督長老教會,茂林巷90-1號,120.6661,22.8871,True,50,美濃,美濃,(高雄市),72.99,warning,13.89,30
高雄市湖內區大湖國民小學,民權路2號,120.244517,22.887757,True,180,林森,林森,(臺南市),74.22,warning,11.08,31
高雄市其山區旗山國小（備用）,華中街44號,120.480651,22.888297,True,80,美濃,美濃,(高雄市),72.17,warning,5.14,33
旗山區公所,延平一路499號,120.4836,22.8886,True,120,美濃,美濃,(高雄市),72.06,warning,4.84,33
高雄市茄萣區成功國民小學,成功路1號,120.186031,22.888687,True,737,林森,林森,(臺南市),74.0,warning,11.35,31
新威天台聖宮,三民路81號,120.6166,22.8889,True,1000,美濃,美濃,(高雄市),72.37,warning,8.84,31
大津登山訓練中心,大津34號,120.6471,22.889,True,100,美濃,美濃,(高雄市),72.98,warning,11.96,30
湄州里活動中心,文中路4號,120.4811,22.8898,True,50,美濃,美濃,(高雄市),72.12,warning,5.11,33
茄萣老人活動中心,忠孝街29號,120.186,22.8911,True,120,林森,林森,(臺南市),73.91,warning,11.1,31
竹峰里辦公處,義德街31巷1之1號,120.4786,22.8912,True,30,美濃,美濃,(高雄市),72.16,warning,5.39,33
大津社區活動中心,大津49號,120.647154,22.891873,True,100,美濃,美濃,(高雄市),72.93,warning,11.98,30
紅葉村活動中心,臺東縣延平鄉紅葉村1鄰16號,121.063062,22.893619,True,30,臺東,臺東,(臺東縣),68.21,warning,17.79,26
古亭社區活動中心,古亭路廟後巷2號,120.4023526,22.89410114,True,70,美濃,美濃,(高雄市),73.96,warning,13.18,32
台灣基督長老教會海埔教會,和平路115號,120.2234,22.8944,True,100,林森,林森,(臺南市),73.85,warning,10.1,31
美濃區老人文康活動中心,中正路2段351號,120.5427,22.8946,True,60,美濃,美濃,(高雄市),70.63,warning,1.75,32
高雄市立美濃國民中學,中正路一段191號,120.5435,22.894745,True,9363,美濃,美濃,(高雄市),70.65,warning,1.82,32
美濃區公所,美中路260號,120.5418,22.8948,True,20,美濃,美濃,(高雄市),70.22,warning,1.7,33
高雄市阿蓮區中路國民小學（備用）,中路272號,120.298575,22.89493,True,300,林森,林森,(臺南市),74.25,warning,12.73,31
興隆國小,155號,121.24875,22.895301,True,120,臺東,臺東,(臺東縣),65.46,warning,18.54,12
鸞山村活動中心,臺東縣延平鄉鸞山村1鄰16號,121.151603,22.899002,True,30,臺東,臺東,(臺東縣),66.54,warning,15.97,24
高雄市美濃區美濃國民小學,永安路190號,120.543255,22.899581,True,1448,美濃,美濃,(高雄市),70.36,warning,2.2,33
高雄市六龜區新威國民小學,新威路212號,120.627629,22.900102,True,254,美濃,美濃,(高雄市),71.9,warning,10.11,32
高雄市美濃區東門國民小學,民族路36巷2號,120.553201,22.900489,True,272,美濃,美濃,(高雄市),70.59,warning,2.99,33
永和社區活動中心備用,旗文路125之5號,120.4782,22.9006,True,50,美濃,美濃,(高雄市),71.98,warning,5.69,33
新威社區活動中心,新威128號,120.6284,22.9025,True,50,美濃,美濃,(高雄市),71.86,warning,10.24,32
桃源村活動中心,臺東縣延平鄉桃源村4鄰78號,121.084336,22.902922,True,50,關山,關山,(臺東縣),67.61,warning,17.69,26
高雄市茄萣區茄萣國民小學,茄萣路二段307號,120.181985,22.903281,True,1144,林森,林森,(臺南市),73.87,warning,10.0,30
臺南市關廟區崇和國小,南雄南路568號,120.3547,22.904,True,290,林森,林森,(臺南市),74.03,warning,16.3,31
龍田社區活動中心,7鄰光榮路308號,121.1206,22.9042,True,20,關山,關山,(臺東縣),67.01,warning,16.23,25
龍田國小,光榮路236號,121.1243,22.9042,True,30,關山,關山,(臺東縣),66.95,warning,16.13,25
和平社區活動中心,3鄰和平路29-1號,121.1192,22.9051,True,40,關山,關山,(臺東縣),66.86,warning,16.17,26
茄萣區公所大禮堂,濱海路四段27號,120.1825,22.9065,True,120,林森,林森,(臺南市),73.75,warning,9.65,30
高雄市立茄萣國民中學,濱海路4段29號,120.181014,22.906889,True,965,林森,林森,(臺南市),73.73,warning,9.68,30
鹿野國中,1鄰光榮路38號,121.1352,22.907,True,100,關山,關山,(臺東縣),66.73,warning,15.6,25
財團法人一貫道興毅純陽聖道院,保生路392號,120.21789,22.907202,True,300,林森,林森,(臺南市),72.95,warning,8.69,32
新興社區活動中心,新威299號,120.6335,22.9076,True,100,美濃,美濃,(高雄市),71.78,warning,10.88,32
高雄市立湖內國民中學,中山路二段63號,120.227397,22.907722,True,100,林森,林森,(臺南市),72.97,warning,8.63,32
中圳社區活動中心,福美路73巷8號,120.547647,22.908018,True,80,美濃,美濃,(高雄市),70.56,warning,3.23,33
中正堂二樓,中正路二段79號,120.2129,22.9091,True,100,林森,林森,(臺南市),72.85,warning,8.52,32
鹿野國小,中華路一段402號,121.137,22.9094,False,100,關山,關山,(臺東縣),66.67,high risk,15.3,25
白雲社區活動中心,公園路81號,120.1851,22.9096,True,120,林森,林森,(臺南市),73.64,warning,9.23,30
高雄市茂林區多納國民小學,多納巷1號,120.7159,22.9101,True,200,美濃,美濃,(高雄市),72.38,warning,19.21,30
多納里社區活動中心,多納巷2號,120.7167,22.9105,True,150,美濃,美濃,(高雄市),72.37,warning,19.3,30
萬山里避難屋,萬山段316地號萬山里預建地,120.682514,22.911115,True,120,美濃,美濃,(高雄市),72.54,warning,15.87,30
高雄市茄萣區砂崙國民小學,文化路81號,120.182354,22.91319,True,589,林森,林森,(臺南市),73.51,warning,8.99,30
臺南市歸仁區大潭國小,中正南路三段97號,120.2718,22.9138,True,700,林森,林森,(臺南市),73.38,warning,9.43,31
鹿野鄉公所,中華路二段139號,121.1362,22.9143,True,50,關山,關山,(臺東縣),66.59,warning,14.78,25
廣林里社區活動中心,廣福街153號,120.579295,22.916916,True,150,美濃,美濃,(高雄市),70.92,warning,6.22,33
臺南市關廟區文和國小,長文街37號,120.3428,22.917,True,400,林森,林森,(臺南市),73.44,warning,14.5,32
內門紫竹寺香客大樓,中正路115巷18號,120.4554,22.9172,True,200,美濃,美濃,(高雄市),72.14,warning,8.56,33
高雄市美濃區廣興國民小學,廣興街124號,120.567922,22.917251,True,1227,美濃,美濃,(高雄市),70.82,warning,5.35,33
高雄市內門區觀亭國民小學,中正路203號,120.453734,22.918343,True,60,美濃,美濃,(高雄市),72.14,warning,8.77,33
高雄市內門區西門國民小學,柿子園24號,120.426716,22.918619,True,70,美濃,美濃,(高雄市),72.49,warning,11.33,33
高雄市立內門國民中學,中正路160巷30號,120.453517,22.921882,True,80,美濃,美濃,(高雄市),72.07,warning,8.97,33
華山營區,華山路11號,120.5039,22.9266,False,100,美濃,美濃,(高雄市),71.11,high risk,5.51,33
臺南市龍崎區大坪里民活動中心,9鄰大坪37之2號,120.3921,22.9268,True,30,美濃,美濃,(高雄市),72.53,warning,14.97,33
永康村鄉立幼兒園,臺東縣延平鄉永康村2鄰43號,121.115208,22.927897,True,50,關山,關山,(臺東縣),66.53,warning,13.88,26
隆昌村辦公處活動中心,18鄰230號,121.269255,22.928015,True,50,關山,關山,(臺東縣),59.41,warning,17.03,10
臺南市歸仁區沙崙國中,歸仁六路2號,120.2816,22.9287,True,1035,林森,林森,(臺南市),72.89,warning,8.75,31
臺南市龍崎區牛埔里里民活動中心,2鄰牛埔21號,120.4096,22.9313,True,40,美濃,美濃,(高雄市),72.3,warning,13.48,33
永安社區活動中心,3鄰永安路257巷5號,121.1296,22.9316,True,20,關山,關山,(臺東縣),66.06,warning,13.05,25
臺南市南區南寧中學,萬年路167號,120.1834,22.9318,True,1678,林森,林森,(臺南市),72.81,warning,7.14,30
臺南市南區灣裡聯合里活動中心,灣裡路67號,120.1808,22.9323,True,1529,林森,林森,(臺南市),72.8,warning,7.25,30
臺南市南區省躬國小,灣裡路70號,120.1804,22.9325,True,6528,林森,林森,(臺南市),72.8,warning,7.26,30
永昌社區活動中心,3鄰永安路98號,121.1308,22.9328,True,30,關山,關山,(臺東縣),66.0,warning,12.89,25
中正社區活動中心,旗甲路三段177巷1號,120.5022,22.9329,True,30,美濃,美濃,(高雄市),71.11,warning,6.2,33
永安國小,鹿寮路31號,121.1283,22.9336,True,20,關山,關山,(臺東縣),66.03,warning,12.87,25
臺南市關廟區深坑國小,南雄路一段487號,120.3353,22.9371,True,140,林森,林森,(臺南市),72.28,warning,12.76,33
鹿野鄉立托兒所,瑞景路一段23巷9號,121.1515,22.9403,True,50,關山,關山,(臺東縣),65.46,warning,11.7,25
南海紫竹寺香客大樓,內埔82號,120.4613,22.9417,True,200,美濃,美濃,(高雄市),71.57,warning,9.59,33
臺南市仁德區臺南都會公園管理中心,文華路二段62號,120.2211,22.9437,True,2060,林森,林森,(臺南市),71.52,warning,4.62,32
臺南市仁德區後壁里老人文康活動中心,德南路68號,120.2532,22.9475,True,1460,林森,林森,(臺南市),71.48,warning,5.26,33
月美社區活動中心,桐竹路241號,120.528674,22.948034,True,20,美濃,美濃,(高雄市),70.77,warning,7.17,33
臺南市龍崎區龍船里里民活動中心,2鄰苦苓湖10號,120.4213,22.952,True,50,美濃,美濃,(高雄市),71.7,warning,13.53,33
瑞源社區活動中心,10鄰佑民路7號,121.1562,22.955,True,30,關山,關山,(臺東縣),64.82,warning,10.03,25
瑞隆社區活動中心,10鄰佑民路7號,121.1562,22.955,True,30,關山,關山,(臺東縣),64.82,warning,10.03,25
永富社區活動中心景義國小,萊坑8號,120.4942,22.956,True,120,美濃,美濃,(高雄市),71.0,warning,8.87,33
高雄市內門區內門國民小學,內埔24號,120.470326,22.956009,True,100,美濃,美濃,(高雄市),71.23,warning,10.14,33
瑞源國小,文化路67號,121.1554,22.9578,True,10,關山,關山,(臺東縣),64.7,warning,9.73,25
高雄市杉林區月美國民小學,清水路象寮巷39號,120.535203,22.958186,True,595,美濃,美濃,(高雄市),70.68,warning,8.31,33
臺南市關廟區五甲國小,和平路246號,120.3343,22.9583,True,800,林森,林森,(臺南市),71.23,warning,11.86,34
臺南市關廟社區活動中心,文化街85號,120.3242,22.9589,True,180,林森,林森,(臺南市),71.18,warning,10.85,34
大林社區活動中心備用,自強巷17號,120.5147,22.9591,True,30,美濃,美濃,(高雄市),70.8,warning,8.55,33
臺南市關廟區關廟國中,中山路二段172號,120.3247,22.9608,True,0,林森,林森,(臺南市),71.12,warning,10.84,34
臺南市南區區公所,明興路2號,120.1884,22.9609,True,983,林森,林森,(臺南市),71.31,warning,4.39,31
臺南市南區龍崗國小,鯤鯓路147號,120.1696,22.9614,False,667,臺南,臺南,(臺南市),71.47,high risk,5.97,31
臺南市東區大智里活動中心,德東街90號,120.2303,22.9615,True,650,林森,林森,(臺南市),70.41,warning,2.77,34
臺南市歸仁區紅瓦厝國小,信義南路100號,120.2987,22.9617,True,800,林森,林森,(臺南市),70.95,warning,8.26,34
尚德國小村辦公室,前寮43號,121.2407,22.9627,True,260,關山,關山,(臺東縣),58.56,warning,12.2,14
臺南市南區永華國小,中華西路一段2巷17號,120.1886,22.9631,True,4154,林森,林森,(臺南市),71.23,warning,4.23,31
臺南市關廟區關廟國小,文衡路121號,120.3261,22.9637,True,1150,林森,林森,(臺南市),71.04,warning,10.91,34
高雄市杉林區大愛民族國民小學,和氣街15號,120.538829,22.963823,True,200,美濃,美濃,(高雄市),70.62,warning,8.96,33
臺南市歸仁區歸南國小,民權南路171號,120.2883,22.9642,True,710,林森,林森,(臺南市),70.47,warning,7.16,35
臺南市龍崎區民活動中心,新市子38號,120.3595,22.9642,True,140,林森,林森,(臺南市),71.11,warning,14.25,34
臺南市立龍崎國民小學,新市子41號,120.35906,22.964425,True,200,林森,林森,(臺南市),71.11,warning,14.2,34
臺南市南區明興社區活動中心,德興路88號,120.1923,22.9651,True,556,林森,林森,(臺南市),70.71,warning,3.79,32
臺南市龍崎區老人文康活中心,新市子201號,120.3603,22.9651,True,65,林森,林森,(臺南市),71.09,warning,14.32,34
大愛活動中心,大愛路47號,120.545574,22.966082,True,100,美濃,美濃,(高雄市),70.57,warning,9.3,33
月眉社區活動中心,清水路朝雲巷10號,120.5354386,22.96649744,True,20,美濃,美濃,(高雄市),70.61,warning,9.23,33
臺南市歸仁區公所,中山路二段2號,120.294,22.9669,True,200,林森,林森,(臺南市),70.75,warning,7.63,34
臺南市南區開南里活動中心,新建路48號,120.1856,22.967,True,428,林森,林森,(臺南市),71.12,warning,4.26,31
臺南市仁德區仁義里運動公園育樂中心,仁義路130號,120.2585,22.9675,True,3260,林森,林森,(臺南市),70.1,warning,4.21,35
上平社區活動中心,山仙路152巷14號,120.557561,22.96796903,True,20,美濃,美濃,(高雄市),70.52,warning,9.78,33
臺南市龍崎區龍崎國民中學,新市子258號,120.3608,22.9683,True,80,林森,林森,(臺南市),71.0,warning,14.32,34
高雄市立杉林國民中學,清水路中學巷6號,120.540834,22.968577,True,375,美濃,美濃,(高雄市),70.57,warning,9.51,33
東河鄉公所2樓大會議室,11鄰南東河311號,121.302729,22.969096,True,50,關山,關山,(臺東縣),45.12,low risk,16.7,6
臺南市歸仁區歸仁國中,文化街二段2號,120.2939,22.9696,True,1130,林森,林森,(臺南市),70.35,warning,7.55,35
臺南市南區白雪社區活動中心,鹽埕路157號,120.1888,22.9697,True,406,臺南,臺南,(臺南市),70.58,warning,3.82,32
臺南市歸仁區歸仁國小,文化街一段100號,120.2966,22.9698,True,865,林森,林森,(臺南市),70.69,warning,7.81,34
武陵村活動中心,臺東縣延平鄉武陵村1鄰15號,121.117842,22.969833,True,30,關山,關山,(臺東縣),64.87,warning,9.51,26
臺南市歸仁區文化國小,文化街二段136號,120.2891,22.9708,True,860,林森,林森,(臺南市),70.28,warning,7.04,35
臺南市歸仁區歸仁里活動中心,忠孝北路221號,120.2984,22.9708,True,200,林森,林森,(臺南市),70.67,warning,7.97,34
臺南市南區大忠大林社區活動中心,大同路二段482巷133弄15號,120.2125,22.9726,True,316,林森,林森,(臺南市),69.89,warning,1.72,34
臺南市仁德區公所,中正路三段5號,120.2517,22.973,True,570,林森,林森,(臺南市),69.85,warning,3.32,35
瑞源國中,瑞景路三段1號,121.1567,22.9742,True,40,關山,關山,(臺東縣),63.72,warning,7.9,26
臺南市南區府南里活動中心,永成路三段529號,120.1953,22.9744,True,531,臺南,臺南,(臺南市),70.25,warning,2.98,33
高雄市內門區木柵國民小學,木柵3號,120.467861,22.975346,True,300,美濃,美濃,(高雄市),70.5,warning,12.05,34
臺南市東區崇德里活動中心,崇德七街30巷2號,120.2281,22.9757,True,800,林森,林森,(臺南市),69.83,warning,1.22,34
臺南市南區田寮社區活動中心,夏林路379號,120.1955,22.9765,True,592,臺南,臺南,(臺南市),70.17,warning,2.84,33
高雄市杉林區上平國民小學,山仙路212號,120.544072,22.976853,True,327,美濃,美濃,(高雄市),70.47,warning,10.46,33
臺南市東區和平里活動中心,文化路100號,120.2326,22.977,True,1450,林森,林森,(臺南市),69.83,warning,1.41,34
臺南市南區國宅社區活動中心,金華路二段33巷81號,120.1879,22.9771,True,602,臺南,臺南,(臺南市),70.36,warning,3.51,32
臺南市關廟區新光國小,新光街76號,120.3595,22.9772,True,145,林森,林森,(臺南市),70.75,warning,14.09,34
臺南市安平區漁光里活動中心,漁光路89巷39號之2,120.159968,22.977225,True,217,臺南,臺南,(臺南市),71.11,warning,6.24,31
日光小林社區活動中心,日光三街25號,120.556689,22.977268,True,200,美濃,美濃,(高雄市),70.43,warning,10.76,33
永吉社區活動中心,新生5號,120.498,22.9774,True,50,美濃,美濃,(高雄市),70.7,warning,10.95,33
臺南市南區新興國中,新孝路87號,120.1876,22.9778,True,5448,臺南,臺南,(臺南市),70.24,warning,3.5,33
木柵社區活動中心,木柵30-1號,120.4677,22.978,True,50,美濃,美濃,(高雄市),70.45,warning,12.31,34
臺南市南區體育公園,體育路10號,120.2068,22.9785,False,11891,林森,林森,(臺南市),69.69,high risk,1.74,34
瑞豐國小,中山路67號,121.1369,22.9791,True,60,關山,關山,(臺東縣),63.83,warning,7.77,26
臺南市南區大成國中,西門路一段306號,120.198,22.9796,True,4741,臺南,臺南,(臺南市),70.04,warning,2.45,33
臺南市東區崇學國民小學操場,崇學路98號,120.2234,22.9796,True,1000,林森,林森,(臺南市),69.63,warning,0.64,34
臺南市東區復興里活動中心,裕忠路456號,120.2416,22.9803,True,230,林森,林森,(臺南市),69.5,warning,2.06,35
臺南市東區區公所,臺南市崇學路100號,120.224015,22.980519,True,70,林森,林森,(臺南市),69.6,warning,0.56,34
臺南市東區德光里活動中心,崇德路111號,120.2188,22.9806,True,1400,林森,林森,(臺南市),69.54,warning,0.62,34
臺南市南區台南高商,健康路一段327號,120.202,22.9811,True,5532,臺南,臺南,(臺南市),69.92,warning,2.01,33
臺南市東區虎尾里活動中心,富農街一段188巷10弄7號,120.2353,22.9815,True,400,林森,林森,(臺南市),69.37,warning,1.41,35
臺南市東區裕聖里活動中心,裕文路286號,120.2464,22.9817,True,250,林森,林森,(臺南市),69.52,warning,2.51,35
臺南市仁德區太子里活動中心,土庫路2號,120.255,22.9823,True,480,林森,林森,(臺南市),69.61,warning,3.38,35
臺南市東區裕文國民小學,裕文路301號,120.245741,22.982499,True,1700,林森,林森,(臺南市),69.49,warning,2.43,35
臺南市東區復興國民小學風雨球場,裕文路60號,120.2387,22.9826,True,1000,林森,林森,(臺南市),69.39,warning,1.72,35
臺南市中西區五妃社區活動中心,南門路237巷10號,120.2049,22.983,True,100,臺南,臺南,(臺南市),69.81,warning,1.65,33
臺南市東區龍山社區活動中心,林森路一段311號,120.2193,22.9836,True,750,林森,林森,(臺南市),69.4,warning,0.34,34
臺南市東區自強里活動中心,富農街一段225號,120.2352,22.984,True,200,林森,林森,(臺南市),69.29,warning,1.34,35
臺南市中西區仙草里活動中心,府緯街4巷6號,120.1995,22.9844,True,200,臺南,臺南,(臺南市),69.86,warning,2.12,33
臺南市東區富裕里活動中心,東門路二段365巷35號,120.2276,22.9847,True,400,林森,林森,(臺南市),69.48,warning,0.56,34
臺南市中西區中山國中,南寧街45號,120.2033,22.9848,True,1300,臺南,臺南,(臺南市),69.78,warning,1.73,33
臺南市東區富強里活動中心,裕農路446巷88號,120.2317,22.986,True,450,林森,林森,(臺南市),69.17,warning,0.98,35
臺南市安平區億載里活動中心,光州一街29號,120.161834,22.986221,True,262,臺南,臺南,(臺南市),70.87,warning,5.91,31
臺南市東區關聖社區活動中心,裕孝路118號,120.2434,22.9865,True,1000,林森,林森,(臺南市),69.34,warning,2.18,35
臺南市安平區文平里活動中心,中華西路二段1巷1號,120.185499,22.986772,True,151,臺南,臺南,(臺南市),70.42,warning,3.49,32
臺南市安平區育平里活動中心,府平路376號,120.167087,22.987404,True,273,臺南,臺南,(臺南市),70.78,warning,5.37,31
臺南市東區衛國里活動中心,衛國街114巷28號,120.2254,22.9879,True,400,林森,林森,(臺南市),68.98,warning,0.45,35
新和社區舊圖書室,司馬路52號,120.563198,22.98792,True,30,美濃,美濃,(高雄市),70.29,warning,12.07,33
瑞豐社區活動中心,10鄰景新路60巷2號,121.1398,22.988,True,30,關山,關山,(臺東縣),63.17,warning,6.74,26
高雄市杉林區新庄國民小學,司馬路45巷5號,120.559681,22.989102,True,260,美濃,美濃,(高雄市),70.28,warning,12.11,33
臺南市中西區郡西里活動中心,郡西路35號2樓,120.194075,22.989445,True,320,臺南,臺南,(臺南市),69.82,warning,2.6,33
臺南市安平區國平里活動中心,建平七街409號,120.176458,22.98948,True,102,臺南,臺南,(臺南市),70.49,warning,4.4,32
臺南市東區後甲南聖里聯合社區活動中心,裕農路878號,120.2427,22.9895,True,650,林森,林森,(臺南市),69.25,warning,2.16,35
臺南市中西區忠義國小,忠義路二段2號,120.20315,22.989572,True,1300,臺南,臺南,(臺南市),69.65,warning,1.67,33
臺南市東區崇誨里活動中心,林森路二段192巷15號,120.2247,22.9898,True,200,臺南,臺南,(臺南市),68.89,warning,0.54,35
臺南市安平區億載國小-操場,郡平路310號,120.163155,22.990008,False,1458,臺南,臺南,(臺南市),70.76,high risk,5.77,31
臺南市中西區永福小西三民里活動中心,府前路一段258號,120.2008,22.9901,True,240,臺南,臺南,(臺南市),69.68,warning,1.91,33
臺南市中西區萬昌公正里活動中心,青年路226巷20號,120.21101,22.991183,True,200,臺南,臺南,(臺南市),69.19,warning,0.89,34
臺南市中西區中頭社區活動中心,保安路201之1號1樓,120.1913,22.9912,True,100,臺南,臺南,(臺南市),69.83,warning,2.89,33
臺南市中西區民生社區活動中心,保安路201之1號2樓,120.1913,22.9912,True,150,臺南,臺南,(臺南市),69.83,warning,2.89,33
臺南市歸仁區保西國小,中正北路三段60號,120.2936,22.9919,True,730,林森,林森,(臺南市),69.72,warning,7.35,35
東寧運動公園,東寧路與林森路二段路口,120.224271,22.992061,False,7700,臺南,臺南,(臺南市),68.82,high risk,0.58,35
臺南市東區大學東寧聯合社區活動中心,林森路二段252號,120.2243,22.9921,True,900,臺南,臺南,(臺南市),68.82,warning,0.58,35
臺南市中西區青年銀同里活動中心,開山路1號,120.2057,22.9922,True,100,臺南,臺南,(臺南市),69.54,warning,1.45,33
臺南市中西區建國里活動中心,永福路二段81巷1號,120.2006,22.9928,True,500,臺南,臺南,(臺南市),69.63,warning,1.97,33
高雄市立六龜高級中學,光復路212號,120.635085,22.99318,True,1625,美濃,美濃,(高雄市),70.03,warning,16.22,33
高雄市內門區溝坪國民小學,廣福47號,120.501231,22.993331,True,200,美濃,美濃,(高雄市),70.02,warning,12.57,34
臺南市關廟區保東國小,關新路一段776號,120.3175,22.9934,True,30,林森,林森,(臺南市),69.82,warning,9.8,35
臺南市中西區大涼社區活動中心,府前路二段258巷55號,120.1908,22.9936,True,130,臺南,臺南,(臺南市),69.79,warning,2.97,33
高雄市六龜區龍興國民小學,中庄193號,120.644983,22.993875,True,60,美濃,美濃,(高雄市),69.99,warning,16.96,33
臺南市安平區安平國小-風雨球場,怡平路392號,120.176439,22.993942,False,510,臺南,臺南,(臺南市),70.39,high risk,4.44,32
小馬活動中心 Siao-Ma Community Center,"小馬路44號No.44, Siaoma Rd., Chenggong Township, Taitung County 961, Taiwan R.O.C.",121.314613,22.99397,True,20,關山,關山,(臺東縣),44.99,low risk,16.63,6
臺南市中西區中正里活動中心,國華街三段5號2樓、3樓,120.1972,22.9945,True,200,臺南,臺南,(臺南市),69.66,warning,2.35,33
臺南市安平區公所,育平路316號,120.168802,22.994806,True,198,臺南,臺南,(臺南市),70.47,warning,5.22,32
臺南市安平區台南聖教會,府前四街90號,120.185097,22.995143,True,66,臺南,臺南,(臺南市),70.23,warning,3.58,32
臺南市安平區建平里活動中心,府前三街27號,120.185584,22.99525,True,152,臺南,臺南,(臺南市),70.22,warning,3.53,32
臺南市安平區華平里活動中心,育平九街195號,120.171965,22.995282,True,235,臺南,臺南,(臺南市),70.42,warning,4.91,32
六龜綜合社會福利服務中心,光復路102號,120.6349,22.9955,True,120,美濃,美濃,(高雄市),70.0,warning,16.4,33
白水泉社區活動中心,茄苳巷26號,120.5784,22.9967,True,50,美濃,美濃,(高雄市),70.14,warning,13.5,33
臺南市安平區沙灘忠誠社區聯合活動中心,世平路69號,120.148967,22.997064,True,376,臺南,臺南,(臺南市),70.76,warning,7.27,31
臺南市中西區民權里活動中心,民權路三段135號,120.1962,22.9971,True,75,臺南,臺南,(臺南市),69.63,warning,2.54,33
臺南市安平區平通里活動中心,平通路580巷102號,120.170604,22.99731,True,92,臺南,臺南,(臺南市),70.39,warning,5.08,32
臺南市安平區安平國中-安平館,慶平路687號,120.168263,22.997889,True,308,臺南,臺南,(臺南市),70.41,warning,5.33,32
泰源活動中心村辦公處,8鄰225號,121.286015,22.997948,True,80,關山,關山,(臺東縣),44.43,low risk,13.74,6
臺南市中西區天后里活動中心,新美街167號,120.201382,22.998046,True,80,臺南,臺南,(臺南市),69.53,warning,2.09,33
高雄市杉林區杉林國民小學,合森巷41號,120.548069,22.998095,True,480,美濃,美濃,(高雄市),69.75,warning,12.86,34
臺南市中西區龍盛社區活動中心,民權路三段232號,120.1938,22.9982,True,350,臺南,臺南,(臺南市),69.65,warning,2.81,33
臺南市安平區天橋教會,怡平路140巷29號,120.16822,22.99822,True,99,臺南,臺南,(臺南市),70.41,warning,5.34,32
泰源國小,本部落11鄰297號,121.285041,22.998414,True,310,關山,關山,(臺東縣),44.41,low risk,13.63,6
臺南市中西區協進國小,金華路四段17號,120.1875,22.9987,True,900,臺南,臺南,(臺南市),69.74,warning,3.44,33
臺南市永康區復興里活動中心,復興路356巷13號,120.2415,22.9988,True,44,林森,林森,(臺南市),69.03,warning,2.49,35
臺南市中西區成功國小,成功路 235 號,120.20317,22.998887,True,1200,臺南,臺南,(臺南市),69.49,warning,1.98,33
六龜社區活動中心,華北街60-1號,120.6301,22.9991,True,100,美濃,美濃,(高雄市),69.96,warning,16.4,33
新和社區活動中心,司馬路384巷5號,120.574128,22.999381,True,30,美濃,美濃,(高雄市),70.11,warning,13.63,33
臺南市安平區平安里活動中心,民權路四段325號,120.17692,22.999443,True,237,臺南,臺南,(臺南市),70.27,warning,4.5,32
原加拿托兒所,1鄰加南1號,121.130244,22.999481,True,50,關山,關山,(臺東縣),62.69,warning,6.02,27
臺南市北區區公所,成功路238巷7號,120.2029,22.9997,True,50,臺南,臺南,(臺南市),69.49,warning,2.05,33
臺南市安平區石門國小-操場,安平路700號,120.166309,22.999878,False,1001,臺南,臺南,(臺南市),70.4,high risk,5.57,32
臺南市北區東興社區活動中心,小東路401巷51號之1,120.232393,22.99999,True,45,臺南,臺南,(臺南市),68.88,warning,1.78,35
寶山國小,彰南路二段36號,120.0,23.0,True,100,臺南,臺南,(臺南市),71.78,warning,22.5,30
臺南市北區公園里活動中心,公園南路39號,120.2116,23.0002,True,45,臺南,臺南,(臺南市),68.77,warning,1.46,35
臺南市龍崎區石[石曹]里里民活動中心,4鄰刺子崙13之3號,120.3974,23.0002,True,30,善化,善化,(臺南市),70.18,warning,16.22,34
臺南市北區公園國小,公園路180號,120.2091,23.0003,False,1400,臺南,臺南,(臺南市),69.04,high risk,1.62,34
臺南市安平區觀音亭,觀音街33號,120.162984,23.000378,True,63,臺南,臺南,(臺南市),70.42,warning,5.91,32
杉林社區活動中心,合森巷109號,120.552286,23.00041918,True,30,美濃,美濃,(高雄市),69.71,warning,13.18,34
中興社區活動中心,中庄194號,120.6448,23.0008,True,100,美濃,美濃,(高雄市),69.89,warning,17.51,33
臺南市安平區開台天后宮,國勝路33號,120.160689,23.000908,True,198,臺南,臺南,(臺南市),70.44,warning,6.15,32
臺南市北區立人國小,西門路三段41號,120.2021,23.0014,True,1400,臺南,臺南,(臺南市),69.48,warning,2.23,33
臺南市永康區中華里活動中心,忠勇街51號,120.2381,23.0015,True,325,臺南,臺南,(臺南市),68.94,warning,2.34,35
臺南市中西區西湖社區活動中心,湖美街60巷31號,120.1808,23.0016,True,260,臺南,臺南,(臺南市),70.17,warning,4.19,32
臺南市永康區勝利里活動中心,勝利街37巷39號,120.2294,23.0021,True,172,臺南,臺南,(臺南市),68.81,warning,1.75,35
臺南市北區安民社區活動中心,海安路三段59號,120.1992,23.0022,True,80,臺南,臺南,(臺南市),69.51,warning,2.52,33
臺南市安平區西門國小-多功能教室及普通教室,安北路180號,120.159508,23.002924,True,694,臺南,臺南,(臺南市),70.41,warning,6.32,32
